,id,hour,info
0,8441081,03/07/2024 18:28:46,"(-805, 828)"
1,1974390,03/07/2024 18:28:53,"(-858, 576)"
2,11720251,03/07/2024 18:29:01,"(459, 101)"
3,9923569,03/07/2024 18:29:01,"(459, 101)"
4,12330707,03/07/2024 18:29:25,"(-616, 506)"
5,8378227,03/07/2024 18:29:25,"(-616, 506)"
6,1413975,03/07/2024 18:29:25,"(-616, 506)"
7,128797,03/07/2024 18:29:25,"(-616, 506)"
8,8284244,03/07/2024 18:29:25,"(-616, 506)"
9,772798,03/07/2024 18:29:26,"(-616, 506)"
10,12540822,03/07/2024 18:29:26,"(-616, 506)"
11,8743151,03/07/2024 18:29:26,"(-616, 506)"
12,12609920,03/07/2024 18:29:26,"(-616, 506)"
13,7645779,03/07/2024 18:29:26,"(-616, 506)"
14,5237602,03/07/2024 18:29:26,"(-616, 506)"
15,5745668,03/07/2024 18:29:26,"(-616, 506)"
16,9651160,03/07/2024 18:29:26,"(-616, 506)"
17,7121763,03/07/2024 18:29:26,"(-616, 506)"
18,11608093,03/07/2024 18:29:26,"(-616, 506)"
